ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,nellj oummu,,nellj oummu,four.NOM man.GEN,four men,Feist 2015:190
GB025,tõt kuʹvdd,,tõt kuʹvdd,DIST.SG.NOM snake.SG.NOM,that snake,Feist 2015:186
GB027-1,Dimitri Moshnikoff piârrjiʹnes,,Dimitri Moshnikoff piârrjiʹnes,Dimitri Moshnikoff family.COM.3SG,Dimitri Moshnikoff with his family,Feist 2015:251
GB027-2,aiham da čiʹʒiham,,aiham da čiʹʒiham,bear and wolf,bear and wolf,Feist2015:297
GB044,kooʹvid,,kooʹv-i-d,kooʹv-PL-ACC,holes,Feist 2015:138
GB046,,,,,,
GB047,põõllâd > põõllmõš,,põõll-âd > põõll-mõš,fear-INF > fear-AN.NMLZ,to fear > fearing,Feist 2015:126
GB048,uʹvdded > uʹvddi,,uʹvdd-ed > uʹvdd-i,give-INF > give-AG.NMLZ,to give > giver,Feist 2015:126
GB049,šõddâd > šâdd,,šõdd-âd > šâdd,grow-INF > grow.NMLZ,to grow > plant,Feist 2015:126
GB065,säʹmmlai puõccu,,säʹmmla-i puõccu,skolt_saami_person-PL.GEN reindeer.PL,the reindeers of the Skolt Saami,Koponen et al. 2022:212
GB070,piõgg muõrid da čääʹʒʒ liikktââll,,piõgg muõrid da čääʹʒʒ liikktââll,wind.NOM tree.PL.ACC and water.ACC move.3SG,the wind moves the trees and the water,Feist 2015:240
GB071,veâla ton vääldčiǩ suu ǩidd,,veâl-a ton vääldčiǩ suu ǩidd,still-INTER 2SG take.COND.2SG 3SG.ACC closed,would you still catch him?,Feist 2015:222
GB072,ceerkvest,,ceerkvest,church.LOC,in the church,Feist 2015:245
GB073,suutää,,suutää,3SG.ABE,without him,Feist 2015:253
GB074,kâskka miõut,,kâskka miõut,middle tussock.GEN,in the middle of a tussock,Feist 2015:280
GB075,muu mie'ldd,,muu mie'ldd,1SG.GEN with,with me,Feist 2015:114
GB080,puõccid hoiʹddje ,,puõccid hoiʹddje,reindeer.PL.ACC look.after.PST.3PL,they looked after reindeer,Feist 2015:218
GB083,,,,,,
GB089,heävaš da päʹrnn mâʹnne,,heävaš da päʹrnn mâʹnne,horse and boy go.3PL,the horse and the boy went,Feist 2015:196
GB091,määŋgi uʹčteeʹli nõõmid mon kuuleem,,määŋgi uʹčteeʹli nõõmid mon kuuleem,many.PL.GEN teacher.PL.GEN name.PL.ACC 1SG.NOM hear.PST.1SG,I heard many teachers’ names,Feist 2015:188
GB111-1,teâvõõttâd : teâvõõttveʹted,,teâvõõtt-âd : teâvõõtt-veʹted,dress-INF : dress-PRS.2PL,to dress oneself : you dress yourselves,Feist 2015:211
GB111-2,pueʹreed : pueʹreʹped,,pueʹre-ed : pueʹr-eʹped,improve-INF : improve-PRS.2PL,to improve : you (pl) improve,Feist 2015:214
GB113, väʹʒʒed : vääʹʒʒted,, väʹʒʒ-ed : vääʹʒʒ-t-ed,walk-INF : walk-CAUS-INF,to walk : to lead (lit. to cause someone to walk),Feist 2015:258
GB114,čåuʹdded : čåuddõõttâd,,čåuʹdd-ed : čåudd-õõtt-âd,free-INF : free-REFL-INF,to free : to free oneself,Feist 2015:118
GB115,de suäna näittlõʹtte,,and 3du.nom marry.refl.pst.3pl,and 3DU.NOM marry.REFL.PST.3PL,the two of them got married,Feist 2015:260
GB117,Evvan lij Peäccam säʹmmlaž,,Evvan lij Peäccam säʹmmlaž,evvan be.3SG petsamo skolt.saami,Evvan is a Petsamo Skolt Saami,Feist 2015:255
GB119,"a ǩeän jeät valddu, suʹst viõkk mäʹhtt leežž ij vuälže",,"a ǩeän jeät valddu, suʹst viõkk mäʹhtt leežž ij vuälže",well who.SG.ACC NEG.4 take.CNG2 3SG.LOC strength.SG.NOM how be.POT.3SG NEG.3SG reach.CNG.POT,"well, whoever they do not take, he might not have enough strength",Feist 2015: 224
GB121,juʹn eeunaž leäi siʹjjid mainstam,,juʹn eeunaž leäi siʹjjid mainstam,already spider.SG.NOM be.PST.3SG 3PL.ILL tell.PST.PTCP,spider had already told them,Feist 2015: 218
GB130,jääuʹr kâʹlmme,,jääuʹr kâʹlmme,lake.PL freeze.3PL,the lakes freeze,Feist 2015:234
GB133,neezzan suâjj+kååutid kuårru,,neezzan suâjj+kååutid kuårru,woman.PL protection.skirt.PL.ACC sew.PST.3PL,the women sewed protective skirts,Feist 2015:235
GB139-1,mon jiõm näittlõõđ,,mon jiõm näittlõõđ,1SG NEG.1SG marry.CNG,I won't get married,Feist 2015:228
GB139-2,jeäʹl muår muännai võnnâz,,jeäʹl muår muännai võnnâz,NEG.IMP.2SG break.CNG 2DU.GEN boat.ACC,don't break our boat!,Feist 2015:228
GB140-1,jiõm leäkku sami činmloekksaž,,jiõm leäkku sami činmloekksaž,NEG.1SG be.CNG quite seventeen.year.old,I am not quite seventeen,Feist 2015:230
GB140-2,ij leäkku maaiʹlmest nuʹbb,,ij leäkku maaiʹlmest nuʹbb,NEG.3SG be.CNG world.LOC other,there is no other in the world,Feist 2015:230
GB185-1,tõn ooumže,,tõn ooumže,DIST.SG.GEN person.SG.ILL,to that person,Feist 2015:187
GB185-2,tõi taauʹtivuiʹm,,tõi taauʹtivuiʹm,DIST.PL.GEN bone.PL.COM,with those bones,Feist 2015:187
GB187,nijdd : niõđâž,,nijdd : niõđâž,girl : girl.DIM,girl : little girl,Feist 2015:124
GB193,õhtt jõnn kuʹvdd,,õhtt jõnn kuʹvdd,one big snake,one big snake,Feist 2015:177
GB203,puk puõccid,,puk puõccid,all reindeer.PL.ACC,all the reindeer,Feist 2015:194
GB252,suʹst liâ čiččâm âʹlǧǧed,,suʹst liâ čiččâm âʹlǧǧed,3SG.LOC be.3PL seven son.PART,He has seven sons,Feist 2015:247
GB264,liâ-a tuʹst čââʹlm?,,liâ-a tuʹst čââʹlm?,be.3PL-Q 2SG.LOC eye.PL.NOM,do you have eyes?,Feist 2015:264
GB275,jõõskâs : jõskksab,,jõõskâs : jõskksab,quiet : quiet.CMPR,quiet : quieter,Feist 2015:174
GB298,mon jiõm näittlõõđ,,mon jiõm näittlõõđ,1SG NEG.1SG marry.CNG,I won't get married,Feist 2015:228
GB305,jiõčč pâi ǩeʹrrez vuâlla oiʹǧǧõõđi,,jiõčč pâi ǩeʹrrez vuâlla oiʹǧǧõõđi,REFL only Skolt.sled.SG.GEN under.ILL throw.REFL.PST.3SG,he just threw himself (into a lying position) under the sled,Feist 2015:260
GB312,"kååʹtt olgglakkše kuåstâž, paaʹštež toʹben",,"kååʹtt olgglakkše kuåstâž, paaʹštež toʹben",REL farther.off get.to.POT.3SG grill.POT.3SG there,"whoever might get further away, might grill (fish) there",Feist 2015:224
GB327,mon vääldam tuʹst tän pääʹrn kååʹtt lij šõddâm,,mon vääldam tuʹst tän pääʹrn kååʹtt lij šõddâm,1SG.NOM take.PRS.1SG 2SG.LOC PROX.SG.ACC boy.SG.ACC REL.SG.NOM be.PRS.3SG be.born.PST.PTCP,"I’ll take from you this boy, who has been born",Feist 2015:195
GB333,"kueʹhtt > kuâhttlo, koumm > koummlo, nellj > nelljlo",,"kueʹhtt > kuâhttlo, koumm > koummlo, nellj > nelljlo","two > twenty, three > thirty, four > fourty","two > twenty, three > thirty, four > fourty",Feist 2015:110
GB408,piõgg muõrid da čääʹʒʒ liikktââll,,piõgg muõrid da čääʹʒʒ liikktââll,wind tree.PL.ACC and water.ACC move.3SG,the wind moves the trees and the water,Feist 2015:240
GB421-1,"mon juʹrddem, što jeännam muu viârtââll",,"mon juʹrddem, što jeännam muu viârtââll",1SG think.PST.1SG COMP mother.1SG 1SG.ACC scold.3SG,I thought that my mother scolds me,Feist 2015:232
GB421-2,Sverloov Jääkk jordd että mon sǩiõlddõõđam,,Sverloov Jääkk jordd että mon sǩiõlddõõđam,Sverloff.GEN Jaakko think.3SG COMP 1SG joke.1SG,Jaakko Sverloff thinks that I’m joking,Feist 2015:292
GB433,ǩiuggnääntää,,ǩiuggnääntää,oven.PL.ABE.1SG,without my owens,Feist 2015:165
GB522,na viõlggâd lij,,na viõlggâd lij,well white be.3SG,"well, it (the skirt) is white",Feist 2015:238
