ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT001,ʃize-xuu-z te pɔnʲi.da-xitʃ,,ʃize-xuu-z	te	pɔnʲi.da-xitʃ,two-DU-NOM.PL.2SG	reindeer	do(IPFV).PTCP_SIM-3DU.PST,The two of them were reindeer-herders,Khanina and Shluinsky 2023:814
UT003,pɔnʲiŋa-xuu-z,,pɔnʲiŋa-xuu-z,use(IPFV)-SOdu-2SG>NSG,you (sg) use them (du),Khanina and Shluinsky 2023:819
UT006-1,nɔda seŋiŋa anʲi,,nɔda	seŋiŋa	anʲi,s/he.DAT	look(IPFV).3SG	and,He looks at him,Khanina and Shluinsky 2023:837
UT006-2,tʃike kamer dʲez seŋi-da,,tʃike	kamer	dʲez	seŋi-da,this	deceased	to	look(IPFV)-FUT.3SG,He will look at this dead person,Khanina and Shluinsky 2023:837
UT008,"ŋa-da, mana, nareiʃ kanʲeb, mana, mɛ-to-jʔ mɛ-nʲi-d",,"ŋa-da,	mana,	nareiʃ	kanʲeb,	mana,	mɛ-to-jʔ	mɛ-nʲi-d",sky-OBL.SG.3SG	say(pfv).3SG.S	spring-TRANSL	leave(pfv)-CVB.COND	say(pfv).3SG.S	mɛ-to-jʔ	mɛ-nʲi-d	chum-DEST.SG-NOM.SG.1SG	make(pfv)-CONJ-2SG.S,"When the weather turns into spring, make me a tent",Olesya Khanina (p.c. 2020)
UT016,ɛse-jʔ tʃi periʔ baziʔ-ubi-zaʃ,,ɛse-jʔ	tʃi	periʔ	baziʔ-ubi-zaʃ,father-NOM.SG.1SG	here	always	tell(IPFV)-HAB-3SG>SG.PST,My father used to tell (us) about him,Khanina and Shluinsky 2023:837
UT017,adu- : adur-,,,sit down (PFV) : sit down repeatedly (IPFV),,Khanina and Shluinsky 2023:828
UT021,mɔta-ʃ,,mɔta-ʃ,cut(PFV)-3SG.PST,he had cut,Khanina and Shluinsky 2023:823
UT023,bu ńi-š kańi-ʔ,,bu	ńi-š	kańi-ʔ,3SG	NEG.AUX-3SG.PST	go-CN,He did not go,Siegl 2013:76
UT026,mɔta-nʲi,,mɔta-nʲi,cut(PFV)-SBJV.3SG,"he would cut, let him cut",Khanina and Shluinsky 2023:824
UT027,mɔta-j ɛ-bu-ta,,mɔta-j ɛ-bu-ta,cut(PFV)-PTCP.ANT be-CVB.COND-OBL.SG.3SG,if he had cut,Khanina and Shluinsky 2023:824
UT028,mɔta-tʃu,,mɔta-tʃu,cut(PFV)-DEB.3SG,he will/should cut,Khanina and Shluinsky 2023:823
UT029-1,mɔta-ta-uʔ,,mɔta-ta-uʔ,cut(PFV)-PROB-3SG.S.CONTR,"probably, he has cut",Khanina and Shluinsky 2023:824
UT029-2,mɔta-sa-uʔ,,mɔta-sa-uʔ,cut(PFV)-Q.3SG.CONT,"probably, he had cut",Khanina and Shluinsky 2023:824
UT030,sɔŋ-e-d,,sɔŋ-e-d,come_back-M-3SG.M.IMP,Let him come back!,Khanina and Shluinsky 2023:822
UT031,pɔnʲiŋa-j,,pɔnʲiŋa-j,use(IPFV)-3SG.IMP,Let him use!,Khanina and Shluinsky 2023:822
UT032,"pɔnʲi-gu-zʔ, pɔnʲi-gogu-zʔ",,"pɔnʲi-gu-zʔ,	pɔnʲi-gogu-zʔ",use(IPFV)-HORT-1SG,Let me use!,Khanina and Shluinsky 2023:822
UT043,nenago pize.go-ʃixutuŋa-d,,nenago	pize.go-ʃixutuŋa-d,mosquito	frighten(PFV).DUR-CVB	smoke(IPFV)-2SG,You smoke in order to frighten mosquitos,Khanina and Shluinsky 2023:847
UT044,iblʲɛjɡu-ɔn mɛuruu-da -Ø manʲ,,iblʲɛjɡu-ɔn	mɛuruu-da	-Ø	manʲ,small	-PROL.SG	get_dark(pfv)	-FUT	-3SG.S	say,It gets dark a bit,NI080817_DJO_083
UT056-1,to-iʔ enčiʔ,,to-iʔ	enčiʔ,come-PTCP.PFT	person,a person who has arrived,Siegl 2013:330
UT056-2,pađu-miʔ pađur,,pađu-miʔ	pađur,write-PTCP.PFT letter,a written letter,Siegl 2013:330
UT057,tezaʔ tɔɔjnʲiʔ sɛxɛri meɔn kanʲenʲieʔ,,tezaʔ tɔɔj-nʲiʔ sɛxɛri me-ɔn kanʲe-nʲi-eʔ,now reach(PFV).PTCP.ANT-OBL.SG.1DU road in-PROL leave(PFV)-SUBJ-1PL,Now let’s go along the road we came by,Khanina and Shluinsky 2023:844
UT059,kada.uda-jʔ ɔburu-jʔ oka,,kada.uda-jʔ	ɔburu-jʔ	oka,take_away(PFV).PTCP_POST-NOM.SG.1SG thing-NOM.SG.1SG many nʲi ŋa-ʔ NEG.3SG exist(IPFV)-CONN,The things I will take with me are not numerous,Khanina and Shluinsky 2023:844
UT066,kɔru-zo-nʲiʔ ta-ʔ,,kɔru-zo-nʲiʔ	ta-ʔ,knife-PRED.SG-OBL.SG.1SG give(PFV)-2SG.IMP,Give me a knife,Khanina and Shluinsky 2023:801
UT073,bunki-xuń polđi-ŋa-xiʔ,,bunki-xuń	polđi-ŋa-xiʔ,dog-PX.DU.1SG	black-FREQ-3DU,My two dogs are black,Siegl 2013:179
UT075,irud,,ir	-d,under(dir)	-OBL.SG.2SG,under you,Olesya Khanina (p.c. 2020)
UT076,mi-ʔ : mi-n : mi-z,,mi-ʔ	:	mi-n	:	mi-z,in-DAT	:	in-LOC	:	in-ABL,into : in : out of,Khanina and Shluinsky 2023:835
UT080,nexuʔ nʲe-jʔ,,nexuʔ	nʲe-jʔ,three	child-NOM.SG.1SG,my three children,Khanina and Shluinsky 2023:814
UT084,mɛ-tʃuz,,mɛ-tʃuz,house-CAR,without a house,Khanina and Shluinsky 2023:805
UT085,pu-on,,pu-on,stone-PROL.SG,along the stone,Khanina and Shluinsky 2023:802
UT086,buuse-d kere-ta batʲinki-za sɛruta-bi,,buuse-d	kere-ta	batʲinki-za	sɛruta-bi,old_man-DAT.SG	self-OBL.SG.3SG	boot-NOM.PL.3SG	tie(PFV)-PRF.3SG,He put his own boots on the old man’s feet,Khanina and Shluinsky 2023:838
UT087,mɛ-kon,,mɛ-kon,house-LOC.SG,in the house,Khanina and Shluinsky 2023:802
UT088,badu-z,,badu-z,tundra-ABL,from the tundra,Khanina and Shluinsky 2023:807
UT095-1,ɔsa-aʃ,,ɔsa-aʃ,meat.NOM.SG-TRANSL,as meat,Khanina and Shluinsky 2023:805
UT095-2,entʃeuʔ-uʃ,,entʃeuʔ-uʃ,person.NOM.PL-TRANSL,as people,Khanina and Shluinsky 2023:805
UT098,padarka-zo-za tɔne?,,padarka-zo-za	tɔne?,gift-DEST.SG-NOM.SG.3SG	there_is(ipfv).3SG.S,Is there a gift for him?,Khanina and Shluinsky 2023:804
UT101-1,ɛɛ-da ubaj koa,,ɛɛ-da	ubaj	koa,mother-OBL.SG.3SG	thimble	find(pfv).3SG.S,She found her mother’s thimble,Ovsjannikova 2020:59
UT101-2,ɛɛ-za anʲ  kɔdse-da         tɔnie-bi,,ɛɛ-za	anʲ	kɔdse-da	tɔnie-bi,mother-NOM.SG.3SG	and	place_for_sleeping-NOM.SG.3SG	there_is(ipfv)-PRF.3SG.S,"And her mother had bed-curtains, after all",Ovsjannikova 2020:59
UT102,no te-r ke-za bɔa ɛ-zʔ nʲi-uʔ,,no	te-r	ke-za	bɔa	ɛ-zʔ	nʲi-uʔ,well	reindeer-NOM.SG.2SG	side-NOM.SG.3SG	bad	be(ipfv)-FUT.CONN	NEG-3SG.S.CONT,"But your reindeer’s body (lit. ‘side’) will be bad, after all",Ovsjannikova 2020:58
UT103-1,mɛ-l,,mɛ-l,house-NOM.SG.2SG,your house,Khanina and Shluinsky 2023:804
UT103-2,mɛzu-z,,mɛzu-z,house-NOM.PL.2SG,your houses (PL),Khanina and Shluinsky 2023:804
UT103-3,mɛ-kuu-z,,mɛ-kuu-z,house-DU-NOM.PL.2SG,your houses (DU),Khanina and Shluinsky 2023:804
UT104,baʔa-d nʲe periʔ kɔlta-goo-za,,baʔa-d        nʲe        periʔ        kɔlta-goo-za,bed-OBL.SG.2SG	cover	always	wash-dur-3SG.O:SG,"(About a daughter in law: she can sew, her house is in order, she cooks,...) she always washes the bed sheets",Khanina and Shluinsky 2017
UT105,bizu-za dʲepi -Ø,,bizu-za        dʲepi-Ø,water-NOM.SG.3SG be_hot(ipfv)-3SG.S,The water is hot,Olesya Khanina (p.c. 2020) NI_GA100713_RYBNIZ_GA_008
