ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT002,Отирыс кöдзöны ни.,ocirɨs kɘd͡ʑɘnɨ ɲi,ocir-ɨs kɘd͡ʑ-ɘnɨ ɲi,people-DEF sow-PRS.3PL already,People are already sowing.,Синтаксис 1940: 18
UT004,Вильö керку лэбтiс Петра.,viʎɘ kerku lebtis petrɑ,viʎ-ɘ kerku lebt-is petrɑ,new-ACC house.ACC lift-PST.3SG Petra,Petra built a new house.,Цыпанов 1999: 84
UT005,гöрд карандашöн,gɘrd kɑrɑndɑʃɘn,gɘrd kɑrɑndɑʃ-ɘn,red pencil-INS,with a red pencil,КПЯ 1962: 212
UT007,Керку гöгöрын сад быдмö.,kerku gɘgɘrɨn sɑd bɨdmɘ,kerku gɘgɘrɨn sɑd bɨdm-ɘ,house around garden grow-PRS.3SG,A garden grows around the house.,КПЯ 1962: 303
UT008,"Гижиканым кылiм, кыдз оссис класс ыбöс.",giʒikɑnɨm kɨlim kɨd͡ʑ oɕɕis klɑss ɨbɘs,giʒ-ikɑnɨm kɨl-i-m kɨd͡ʑ oɕɕ-is klɑss ɨbɘs,write-CVB.POSS.1PL hear-PST-1PL how open-PST.3SG classroom door,while writing we heard that/how the class' door opened,КПЯ 1962: 281
UT010,"Аддзылi ручöс. 
vs. 
Кералöны вöр.","ɑd͡d͡ʑɨli rut͡ɕɘs
vs.
kerɑlɘnɨ vɘr","ɑd͡d͡ʑɨ-l-i rut͡ɕ-ɘs
vs.
kerɑl-ɘnɨ vɘr","see-MOM-PST.1SG fox-ACC
vs.
chop.down-PRS.3PL forest.ACC","I saw a fox.
vs.
They have chopping down the forest.",КПЯ 1962: 78
UT013,Горалö вöр. А вöрыс ыджыт да басöк.,gorɑlɘ vɘr. ɑ vɘrɨs ɨd͡ʒɨt dɑ bɑsɘk,"gorɑl-ɘ vɘr. 
ɑ vɘr-ɨs ɨd͡ʒɨt dɑ bɑsɘk","rustle-PRS.3SG forest
but forest-POSS.3SG big and beautiful","A forest rustles.
But the forest is big and beautiful.",Грамматика 1940: 74; КПЯ 1962: 198
UT014,Зонкаыс окыштiс нывкасö и пышшис,zonkɑɨs okɨʃtis nɨvkɑsɘ i pɨʃʃis,zon-kɑ-ɨs okɨʃt-is nɨv-kɑ-sɘ i pɨʃʃ-is,boy-DEM-POSS.3SG kiss-PST.3SG girl-DEM-ACC.POSS.3SG and run-PST.3SG,The boy kissed the girl and ran away,
UT016,керлывлыны,kerlɨvlɨnɨ,ker-lɨvlɨ-nɨ,do-FRQ-INF,"to do sometimes, usually",КПЯ 1962: 258
UT017,ветлывлыны,vetlɨvlɨnɨ,vetl-ɨvlɨ-nɨ,go.and.com.back-FRQ-INF,"to go and come back sometimes, usually",КПЯ 1962: 258
UT019,Ме ашын муна театрö.,me ɑʃɨn munɑ ceɑtrɘ,me ɑʃɨn mun-ɑ ceɑtr-ɘ,I tomorrow go-PRS.1SG theatre-ILL,I will go to the theatre tomorrow.,КПЯ 1962: 251
UT021,Миян вотöдз сiя мунöма ни вöлi,mijɑn votɘd͡ʑ sijɑ munɘmɑ ɲi vɘli,mijɑn vo-tɘd͡ʑ sijɑ mun-ɘmɑ ɲi vɘl-i,1PL.GEN arrive-CVB 3SG go-2PST.3SG already be-PST.3SG,S/he had already left before we arrived,
UT023,ог vs. эг,og vs. eg,o-g vs. e-g,NEG.PRS-1SG vs. NEG.PST-1SG,I don't vs. I didn't,КПЯ 1962: 246
UT037,абу гижöмась,ɑbu giʒɘmɑɕ,ɑbu giʒ-ɘmɑɕ,NEG.EX write-2PST.2PL/3PL,you/they haven't written,КПЯ 1962: 254
UT039,Вузалöны пизь.,vizɑlɘnɨ piʑ,vizɑl-ɘnɨ piʑ,sell-PRS.3PL flour.ACC,Flour is for sale.,КПЯ 1962: 247
UT040,"Мый кöдзан, сiйö и босьтан.","mɨj kɘd͡ʑɑn, sijɘ i boɕtɑn","mɨj kɘd͡ʑ-ɑn, sijɘ i boɕt-ɑn",what.ACC sow-FUT.2SG that.ACC and take-FUT.2SG,"What you sow, that shall you reap.",КПЯ 1962: 247
UT042,мый öнi керны?,mɨj ɘni kernɨ,mɨj ɘni ker-nɨ,what now do-INF,What is to do now?,
UT043,…Миша локтiс уджавны.,miʃɑ loktis ud͡ʒɑvnɨ,miʃɑ lokt-is ud͡ʒɑv-nɨ,Misha come-PST.3SG work-INF,Misha came to work.,Синтаксис 1940: 25
UT044,зэрö,zerɘ,zer-ɘ,rain-PRS.3SG,It's raining.,КПЯ 1962: 248
UT046,Ме вöлi собраннё вылын.,me vɘli sobrɑɲɲo vɨlɨn,me vɘl-i sobrɑɲɲo vɨlɨn,I be-PST.1SG meating on,I was at the meating,Майшев 1940: 63
UT047,Мамö гортын.,mɑmɘ gortɨn,mɑm-ɘ gort-ɨn,mather-POSS.1SG home-INE,My mother is at home.,Синтаксис 1940: 15
UT048,"Зэр бöрын бура быдмö сю и турун. 
Вуграсись дернитiс вугырсö и черисö уськöтiс. 
Вуграсись дернитiс вугырсö, и чериыс мезмис. ","zer bɘrɨn burɑ bɨdmɘ ɕu i turun
vugrɑɕiɕ ɟerɲitis vugɨrsɘ i t͡ɕerisɘ uɕkɘtis
vugrɑɕiɕ ɟerɲitis vugɨrsɘ i t͡ɕeriɨs mezmis","zer bɘr-ɨn bur-ɑ bɨdm-ɘ ɕu i turun
vugrɑɕ-iɕ ɟerɲit-is vugɨr-sɘ i t͡ɕeri-sɘ uɕkɘt-is
vugrɑɕ-iɕ ɟerɲit-is vugɨr-sɘ i t͡ɕeri-ɨs mezm-is","rain backside-INE good-DER grow-PRS.3SG cereal and grass
fish.with.a.fishing.rod-PTCP jerk-PST.3SG fishing.rod-ACC.POSS.3SG and fish-ACC.POSS.3SG drop-PST.3SG
fish.with.a.fishing.rod-PTCP jerk-PST.3SG fishing.rod-ACC.POSS.3SG and fish-POSS.3SG get.free-PST.3SG","Cereals and grass grow well after rain.
The fisherman pulled the fishing rod and dropped the fish.
The fisherman pulled the fishing rod and the fish got free.","(КПЯ 1962: 310)
(Синтаксис 1940: 68)
(Синтаксис 1940: 68)"
UT049,абу дона,ɑbu donɑ,ɑbu donɑ,NEG.EX expensive,not expensive,КПРС 1985: 15
UT050,гижа : ог гиж,giʒɑ : og giʒ,giʒ-ɑ : o-g giʒ,write-PRS.1SG : NEG.PRS-1SG write.CNG.SG,I write : I don't write,КПЯ 1962: 253
UT052-1,муыс не гöрöм,muɨs ɲe gɘrɘm,mu-ɨs ɲe gɘr-ɘm,ground-DEF NEG plow-PTCP.PST,The ground is not plowed.,Грамматика 1940: 179
UT052-2,муыс абу гöрöм,muɨs ɑbu gɘrɘm,mu-ɨs ɑbu gɘr-ɘm,ground-DEF NEG plow-PTCP.PST,The ground is not plowed.,
UT053-1,велöтчытöм морт,velɘtt͡ɕɨtɘm mort,velɘtt͡ɕɨ-tɘm mort,learn-PTCP.NEG person,uneducated person,"Грамматика 1940: 176, 180"
UT053-2,Мийö уджалiм дугдывтöг.,Mijɘ ud͡ʒɑlim dugdɨvtɘg,Mijɘ ud͡ʒɑl-im dugd-ɨv-tɘg,1PL work-PST.1PL quit-MOM-CVB.NEG,We worked without pauses.,
UT055,велöтчись морт,velɘtt͡ɕiɕ mort,velɘtt͡ɕ-iɕ mort,learn-PTCP.PRS person,learning person,Грамматика 1940: 176
UT057,Мамö пыртiс тшак косьтан плита.,mɑmɘ pɨrtis t͡ʃɑk koɕtɑn pʎitɑ,mɑm-ɘ pɨrt-is t͡ʃɑk koɕt-ɑn pʎitɑ,mother-POSS.1SG bring.in-PST.3SG mushroom dry-PTCP board.ACC,My mother brought the board for drying mushrooms in[to the room].,Грамматика 1940: 176
